sku;name;brand;category;priceUyu
2190;Perfume Natura Hombre Emocione 100 Ml;Natura Hombre;Perfumería;3299
2446;Perfume Una 75 Ml;Una;Perfumería;3299
2458;Perfume Una Artisan 75 Ml;Una;Perfumería;3299
5870;Jabón Líquido en Gel Tododia Mora Roja y Jabuticaba 300ml;Tododia;Cuerpo y baño;509
5894;Repuesto Jabón Líquido en Gel Tododia Mora Roja y Jabuticaba 300 Ml;Tododia;Cuerpo y baño;307
7977;Repuesto Perfume Essencial Masculino 100 Ml;Essencial;Perfumería;2139
7978;Repuesto Perfume Essencial Femenino 100 Ml;Essencial;Perfumería;2139
7979;Repuesto Perfume Essencial Exclusivo Masculino 100 Ml;Essencial;Perfumería;2139
9467;Colonia Biografia Caminos femenino 100 ml;Biografia;Perfumería;1469
9468;Colonia Biografia Caminos masculino 100 ml;Biografia;Perfumería;1469
11681;Repuesto Perfume Essencial Exclusivo Femenino 100 Ml;Essencial;Perfumería;2139
11682;Repuesto Perfume Essencial Oud Femenino 100 Ml;Essencial;Perfumería;2219
11683;Repuesto Perfume Essencial Oud Masculino 100 Ml;Essencial;Perfumería;2219
15825;Base Primer 3d Gel Una;Una;Maquillaje;359
15826;Top Coat 3d Gel Una 8 Ml;Una;Maquillaje;399
16641;Esponja de maquillaje Color Blend;Natura;Maquillaje;319
16870;Desodorante Hidratante Corporal Perfumado Essencial 200 G;Essencial;Cuerpo y baño;1079
16871;Desodorante Hidratante Corporal Perfumado Essencial Exclusivo 200 G;Essencial;Cuerpo y baño;1349
16872;Desodorante Hidratante Corporal Perfumado Essencial Oud 200 G;Essencial;Cuerpo y baño;1349
16873;Desodorante Hidratante Perfumado Corporal Essencial Supreme 200g;Essencial;Cuerpo y baño;1079
17049;Perfume Essencial Oud Vanilla Femenino 100 Ml;Essencial;Perfumería;2899
17052;Perfume Essencial Oud Vanilla Masculino 100 Ml;Essencial;Perfumería;2899
18887;Essencial Oud Pimenta Perfume Femenino 100 Ml;Essencial;Perfumería;2899
